"TIMEINMILLISSECONDS","WORDSNUM"
"145","13816"
"TIMEINMILLISSECONDS","WORDSNUM"
"84","17565"
"TIMEINMILLISSECONDS","WORDSNUM"
"224","80768"
"TIMEINMILLISSECONDS","WORDSNUM"
"227","112149"
"MATRIXSIZE","SPEEDUP","TIMEINMILLISSECONDS"
"512","0.25076452599388377","327"
"2048","0.9125394632991318","20272"
"1024","0.7794707297514034","1247"
